نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
غمينوح,ح . شركت صنايع غذايي مينو شرق,2,10550,109129200,10555,10344,10344,-211.00,-2.00,10344,-211.00,-2.00,10344,10344
وسمازن,س.سهام عدالت استان مازندران,2,21000,20160000,970,960,960,-10.00,-1.03,970,0,0,960,960
ضترا3000,اختيارخ شتران-6000-1400/03/09,2,2,7000000,3000,3500,3500,500.00,16.67,3500,500.00,16.67,3500,3500
پست0008پ08,پسته فندقي32-30مه ولات0008(پ),2,9,12520000,1380000,1400000,1380000,0,0,1391111,"11,111.00",0.81,1380000,1400000
پست0008پ02,پسته فندقي32-30طلاسبززرند0008,2,8,11040000,1311939,1449000,1311000,-939.00,-0.07,1380000,"68,061.00",5.19,1311000,1449000
پا ر 59,بار پايه روز 59,2,8000,2760000,717,345,345,-372.00,-51.88,345,-372.00,-51.88,345,345
وآتوس,س.آرين توسكا قيمت اسمي 350ريال,2,245,10779510,44895,43998,43998,-897.00,-2.00,44894,-1.00,0,43998,43998
زعف0008پ16,زعفران0008نگين بيرجند(پ),2,300,35090000,115325,116900,117000,"1,675.00",1.45,116967,"1,642.00",1.42,116900,117000
ضجار2006,اختيارخ وتجارت-4500-1400/02/22,2,100,3000000,33,30,30,-3.00,-9.09,30,-3.00,-9.09,30,30
اراد414,مرابحه عام دولت4-ش.خ 0006,2,2000000,1.98473E+12,1000000,1000136,984593,"-15,407.00",-1.54,992364,"-7,636.00",-0.76,984593,1000136
ضشنا2005,اختيارخ شپنا-18000-1400/02/27,2,12,3390000,435,130,435,0,0,282,-153.00,-35.17,130,435
پا ر 2,بار پايه روز 2,2,8000,2760000,385,345,345,-40.00,-10.39,345,-40.00,-10.39,345,345
اراد494,مرابحه عام دولت4-ش.خ 0206,2,21424000,1.97463E+13,990000,921728,921650,"-68,350.00",-6.90,921689,"-68,311.00",-6.90,921650,921728
قزوين,كارخانجات‌ قند قزوين‌,2,330,12975600,40120,39320,39320,-800.00,-1.99,40120,0,0,39320,39320
ضپنا2002,اختيارخ رمپنا-14000-1400/02/12,2,5,15000000,2700,3000,3000,300.00,11.11,3000,300.00,11.11,3000,3000
تملي701,تسهيلات مسكن ب. ملي-فروردين97,2,22,13181608,570633,599164,599164,"28,531.00",5.00,599164,"28,531.00",5.00,599164,599164
اراد314,مرابحه عام دولت3-ش.خ 0208,2,25000000,2.21883E+13,1000000,900030,875035,"-124,965.00",-12.50,887532,"-112,468.00",-11.25,875035,900030
زعف0008پ20,زعفران0008نگين وحدت جام(پ),2,1100,126700000,114840,115000,115200,360.00,0.31,115182,342.00,0.30,115000,115200
پا ر 1,بار پايه روز 1,2,8000,2760000,385,345,345,-40.00,-10.39,345,-40.00,-10.39,345,345
اراد344,مرابحه عام دولت3-ش.خ 0305,2,19586000,1.67493E+13,1000000,864900,845432,"-154,568.00",-15.46,855166,"-144,834.00",-14.48,845432,864900
افرا,افرانت,2,819,28524951,35539,34829,34829,-710.00,-2.00,35539,0,0,34829,34829
تملي703,تسهيلات مسكن ب. ملي-خرداد97,2,66,34108323,543944,516747,516800,"-27,144.00",-4.99,516793,"-27,151.00",-4.99,516747,516800
حاريا,كشتيراني آريا,2,360,10249200,29051,28470,28470,-581.00,-2.00,29051,0,0,28470,28470
